invoice_number;invoice_date;lease_contract_number;location;city;visible_number;evse;transaction_start_date;transaction_end_date;volume;amount
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-04 10:37:30+01:00;2024-01-04 17:19:26+01:00;16.753;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-06 10:42:13+01:00;2024-01-06 12:01:47+01:00;7.225;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-06 12:48:53+01:00;2024-01-06 13:02:37+01:00;1.328;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-06 23:28:35+01:00;2024-01-07 10:47:27+01:00;16.443;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-08 17:06:59+01:00;2024-01-08 18:48:03+01:00;10.666;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-08 20:19:15+01:00;2024-01-09 08:10:37+01:00;8.519;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-09 12:12:35+01:00;2024-01-09 16:08:16+01:00;0.475;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-11 09:19:39+01:00;2024-01-11 09:21:15+01:00;0.064;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-11 10:15:53+01:00;2024-01-11 10:46:34+01:00;2.672;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-11 12:25:13+01:00;2024-01-11 17:49:17+01:00;16.469;0.0
CBE00111502-3;2024-02-15;;Akkermunt 168, 2412 Bodegraven, Netherlands;Zuid-Holland;NLSHOCGH3N83QFR;NLSHOE4000163313262;2024-01-12 15:52:38+01:00;2024-01-12 17:29:54+01:00;5.349;0.0
